comments;sarcasm
ў“ез« и«д« е«ў“ез«‘ «дезе е‘  и»—«би« ўдкз«  ў—б гкб  гиж  —жѕ ѕке« и«Ќжк ‘ў» к ж«вд «деи«÷кў «д «бз… »”;TRUE
ў«ѕк «ж« е—… ќ„»жк в дз д« »жгед в—«к к;TRUE
еж Џ«дк… иеж »ж“кж«њ и«е« ‘ў»  Ќгк ўдкз њњ;TRUE
«ќ— «з е«ек;FALSE
е—«  »ж  ќ«д з;TRUE
з«ѕ« ‘жк »«д“»„њ;TRUE
иќк—ге е” зижкж »кз« Џ«дкз ‘ж к„дў »ж“кжз ћж»з«;TRUE
ќѕкћз »ж вжз  Џк—дз« б «д÷к и—« «д” «—;TRUE
еж в«д «жй еў«ге ид«ўе—к ”еў  »кзе;FALSE
е«зи «’д«л »ж“ке« кгиж идѕ ќ«д… —«ћдз« —»к кзжкзе «ж ‘«Ѕ «ддз;TRUE
ў«ѕк в«—к еў«з« бк «д«ўѕ«ѕк ќк—гењ!;TRUE
ид« »зежк ќ«д’ ќ«д’;FALSE
еб÷«ге;TRUE
ѕ«— дге еи÷иў  зѕ—“и« »кз;TRUE
и«ддз е«ќее  бкз« ид«жў—б Ќ к ‘гиж кгиж зѕ« »ж“кж«;FALSE
«жк жбг— бк Ќк« к »” Ќ«дк« д«ж е в—»ў«;TRUE
зк« д«’в  —иЌз« »бди”з« ўдк Ќ”»з« зи еў“ез«‘ «д«ж екў—бз«‘ «’д«;FALSE
д« «ж« жбг— б ’ѕкв… »ж“ке« гкб е«Џ«— ‘ в’ѕк —«зк Џ««дкз Џ«««дк… е«—г« ;TRUE
е‘ еи÷иў —з ў“ез« е‘  еў »ж  ќ«д з« е‘  еж Џк— ў“иез;TRUE
и«ддз ежбг— бкз«;FALSE
зк „д»  ежз  Ќ÷— (ў“е  —иЌз«) б еЌ»‘ к—ѕз«;TRUE
’«— ў“ез« ’«— дк ѕ»— ўдкз« ѕ»«—  б«‘дз иддз « ”ќб икж и’д »кз« «д бгк— »«‘  Ћ»  «жз« —«вкз иеЋвбз «ддз кд„б »кж« и»кз«;FALSE
»«зк еЋд« ж÷Ќги  и ид« ж»ги;FALSE
д« ў«ѕк Ќ к «дў„и«жк „дў зи« е’и— «дЌбдз;TRUE
и «ддз ’Ќ  и« гед  «е Ќ«жк вўѕ  жбг— гкбб ў“ез« и «ддз ””«–ћ… «ж«;TRUE
Ќ й «жк ў“ежк Џк— «дкие ўдк« «де«ўкж евѕ— ‘ же‘к;TRUE
«д« «ж« жбг— бк е’—б «дћези—к…;TRUE
»—Џе «ж« ‘Ќжк бкз1% Ќ»к  жвид Ќ«ћ… в»д е«;FALSE
Ќ к «ж« ў“ежк дгж « –г—  «ж е« ћ«ж«‘ бк еи   Ќк«… «дв«кѕ вд  и«ддз е«жк е«‘кз е«Ќѕ ќк— еж Ќѕ «ки«««;TRUE
Џ«дкз : «’д« »ж“ке« ’«Ќ» —«ћдк икў—бж«;TRUE
еж вд» «дЌ«ѕЋ;FALSE
»е« √ж «деж‘и— ид« дз «к б«кѕ…;TRUE
«д‘ў» кбг— бк ежЎие… «дћези—к… «е« »ж“ке«;TRUE
Ќ к «д÷Ќг ’ў» из ўдкж«;TRUE
и«ддз е«ў“е з« «джз«—«  ?;TRUE
»«зк «ж« е« бг— ‘ кўжк «ж« е‘ еж «д‘ў» њ;TRUE
иќк—з еў“ежк‘ «жк;TRUE
и«÷Ќ… к »—ж” ўжѕк идѕ ўе к ў«к‘ бк б—ж”« „дў  —”ек «дѕи… егдез«;TRUE
Ќ й «жк ў“ежк игж  »же‘к Џк— дзк  »еи÷иў  ‘к—кж иЌ”«е евѕ— ‘ же‘к;TRUE
е‘ ў«—бз гкб  ’ѕвии ‘ж зи« ў—” ид« „зи—з »«‘ кў“ез« зи« »—иЌз еў“ие  двиз«« ‘«—к з« »«дбди” «дў“ие… »«‘  б‘гг бв„;TRUE
и«ддз е« ў“е з« «джз«—« ;TRUE
гдж« ў“еж« и«Ќдк ’Ќ»… »ж“кез  —к” к«  ‘е;TRUE
Ќ к зк««« Џ««дк…;TRUE
‘г—л« «Ќд«е «д‘«е”к ў «дде… «ж ‘«Ѕ «ддз Ќи‘г ѕке« ў«е—;TRUE
«жк ек”к ў“ежк «ўдк „зи— идѕз «д’Џк—;TRUE
д« ў“ез« д« ‘к ђђ«деи÷иў »”к„ ћѕ« Џк— Ќжк »д«ѕж« еЌ—иекж еж гд ‘к ђђ;TRUE
»ж“ке«:;FALSE
иж« «жбг— «жз »Ќ— „»кќз ге б—ѕ  ќ»“з  ”ѕз;TRUE
е‘ еи÷иў «’д« Ќ й «жк ў“ежк игж  »же‘к Џк— дзк  »еи÷иў  ‘к—кж иЌ”«е  √”б  ежз;TRUE
»ж“ке« г«ж бк б—ж”« иеўжѕ«‘ »ж“кжз ћ«» дз »«жв« ў“ез« ”«зд… е‘ еЌ «ћ…  бгк—;TRUE
ў“ежк вд дз ќѕе… ежвѕ—‘ жћк ў«ѕк ‘ж бкз«;TRUE
ег»—кж «деи÷иў  к зк« Џ«дк… еж еќдкз« згк Џк— е «»ў«  «д‘ў» ид«кг« зе изѕ—“ зе ўдкз« Ќ  «”»иў «д»к»к дк ѕ«—« з вўѕи ‘з— кзѕ—“и »кз∞;FALSE
вўѕ… «жбг— гкб »жзћ еж з«д»д«ѕ;FALSE
и«ж« жбг— б «дѕЌк дк вдк з ие«двк ‘ ќ»“з;TRUE
зи« »ж“ке… е«ў“е‘ г—к” к«жи »кў“е Џ«дк… њ;FALSE
»’—«Ќз и«ћўжк «д«” ќб«б »ўвидж« »”;FALSE
зк« Ќ к ”«де «д—и«жк е кў—бз«‘ »кў“ез« «дЌгие…;TRUE
д« Ќжк е √гѕкж «ж е« жў“е ‘ б е« жбг—и‘;TRUE
зк ќдк езк—…  ж“дз« Ќ й —»ў ’и—…  бк Ќ”«»з« в»д »ўѕкж «жбг— бк »ж“ке« Ќв ў“ез« «и д«;FALSE
еж Џ«дкз зк« њ;FALSE
гкб г« »з ‘г—« »ж“кез ў «дѕўиз «–« г«ж »ж“кез жб”з  е ѕўи з иќк— ѕўи г Ќ « «ж ;TRUE
зи ’Ќ «Ќжк »и—«вж« иез»дз;TRUE
»е« «ж «деж‘и— е«бк‘ б«∆ѕ…  ў«ди жў„кге „—квз «дќ»“… «дк«»”з УУУУ УУ..  «ќѕи «дќ»“… «д»«к з дкз« кие ид« киекж  в”еиз« и ж‘—из« бй «д‘е” «ж ‘«Ѕ «ддз  гижи «” бѕ и «де—… «дћ«кз жў„кге „—квз «джўж«ў «дк«»”;TRUE
жбг— гкб »жи÷ »г—к Џѕи…;FALSE
в”ел« »«ддз е«бг—  ид« жѕи— бкз« Џк— ждзк бк —иЌк и’Џ«—к »«ддз жбг— Ќ к бк ж«” «дЋ«жкз;FALSE
ўжѕк идкѕ ’ѕквк ў«“ез »кид ‘ж еи÷иўз;TRUE
‘ў» еЌ”ѕк ие Ќ»и‘ «дќк— д Џк—ге и  вкѕи бк «Ќи«д «дж«”   ќди «дж«”  ўк‘ и«ж е бк гд еи÷иў «ѕи—и ўдз и »и  в’в’и и«ддз «д« ’Ќз дкз« Џ«дкз и«ж ‘«Ѕ «ддз ѕке« б «двез;FALSE
»ж“ке« :;FALSE
еж »ж“ке« иеж Џ«дкз;FALSE
»ж“ке« «дў»кѕк;TRUE
«ў вѕ д« ў“ез« д« ‘кЅ  зк и«ќ–… ’и—… бкз«  дг «дў»«—… д‘ќ’ «ќ— к‘г— бкз« бк »ж“ке« ўдй «дѕўи… .;FALSE
в«д ’дй «ддз ўдкз и”де еж Ќ”ж «”д«е «де—Ѕ  —гз е« д« кўжкзђђђђ «Ќгк ў жб”г еи‘ гд «дж«”  з е »«д —«з«  ддўде;FALSE
зе« ’Ќ«««««» вѕе еж «к«е »ж“ке… кдў» бк дкиж иЏ«дк…   ѕзи— »кж ”ив «дћ—кѕ и”ив ћжзккж;TRUE
?(≈ржос «ддосзо иоеодо«∆рго озп кп’одпсиж ўодой «джос»ркрс ко« √окпсзо« «дос–ркжо ¬оежпи« ’одпси« ўодоктзр и”одрсепи«  о”тдркел«).;FALSE
«д« «ж« «жбг— бк еж зк Џ«дк… з–к «ддк ў“ез« »ж“ке«;FALSE
ў «”«” б—Ќ идѕ ќ«д з «“Ќ ђ к« Ќидк »«зк;TRUE
д« √Ќѕ ез е;FALSE
ќдиз« б Ќ«дз« «еи—з«;FALSE
Ќ й «жк ў“ежк ив»д »жўѕк »”  бг—  зи е«ћ«жк ид« Ќ й к»«—гдк ид« к”«ид бк« е«Ќѕ ќк— еж Ќѕ;TRUE
≈д« ж« «жбг— бк е’—б «дћези—к… и«д ћ«—к;FALSE
е«бг— ‘ «д«жз и«÷Ќ изе »«ддзк  е‘  ддЌбд… вдж« »«зк ќѕ  »„«в… иќ‘  «е« »«‘  вжўж« «жз »ж“ке« ў«“ез« и”ў  ежз« зд»««««« е‘ ‘ик…;TRUE
и«ддз Ќ”ѕ з« жЌдб ўдкз« е« ў—б «”е д«ў» бк «д—к«д Џк— »ж“ке« и«Ќжк кдк жў—би Ќ й «”е ”и«в «дЌ«бдз  е«Ќ÷—ж«.      «дѕжк« ЌЎи„;FALSE
Ќ к «жк ў“ежк в дз  ўжѕк „дўз  ежвѕ—‘;TRUE
д« и«ддз «ж« жбг— бк Ќ«ћ…  «жк…  ’и—;FALSE
»д«ѕ  ез»дз;FALSE
де« »ѕк— —иЌг ‘з— г ў«дек… дгж е‘ ў«—б гкб  г–»;TRUE
«Џд»зе кбг—и б«д‘ж„з е ў “ўгигз «жз« е‘ е«‘кз еў «д„—Ќз;TRUE
»д«ѕ «д —жѕ«  и«дЌ’—к«  гд кие ћѕкѕ е« ед‘ »гд;TRUE
к«ће«ў… «дќк— «бзеи« «дв’… и«ў—би« еўж«з«  и»«дж”»з ддж«” «ддк е‘ б«зе… ‘ж бкз »«д“»„ ‘иби« к« ж«” иќи–и« ежк «д“»ѕ… и »жќ ’— «дгд«е иеж Џк— е«ж“кѕ ид«жв’ и —Џ—кЏ ў«дб«÷к и »в»кв д« квѕе ид« киќ— и«дв’… —«зк иеж Џк— «к евѕе«  ђ «ж«  »жћк»з«дге еж «д«ќ—У;FALSE
√е з »к е «”»иў Џ«дкз и«ж е ў‘‘ и« бкз«;FALSE
≈д« √ж« ѕќджк‘ »кзе ие—«  Ќ й √еи—к еќдк з«  жЌд »—иЌз«;FALSE
бк ‘«—ў ўе— «деќ «— д«вк з ид«в«жк;FALSE
ў“е ўкжз«  Ќ”«» —иЌз« »ж  «»—«зкеибк ‘;TRUE
’Ќ;FALSE
г«ж гд и«Ќѕ »квид Ќ«ћз » ’ѕвиз е‘гдз;TRUE
и—»к  и« гж  жвид б«з«;FALSE
к«‘«вккккж »кз« и ќбби« бк –жи»з« изк« ў«к‘з Ќк« з«;FALSE
джв«жз ѕ«— з« г»к—————з Џ«дкз «де—з з–к;TRUE
еж »ж“ке« иеж Џ«дк…;FALSE
«д« «ж« жбг— еж к„дў »ж“ке« з–«;FALSE
’Ќ гкб;FALSE
и«ддз е«вежз««« еж «—÷з« дд«е«ж…;FALSE
»ж“ке« ў»— «д«ж” «;FALSE
е‘ еўвидз;FALSE
еж »ж“ке«њ;FALSE
зззззззззз ў«“е Ќ й ж«ћк ѕ—«з иб« з »—« ўд«ћ ўдк —«”г;TRUE
Ќ к «ж« «дкие «д’»Ќ ў“ежк ?’ѕквк?? е«—«ѕиж« ?ўдк ? ?„«”… взи… ????;TRUE
Џ«дк… ў—бж«з« е «ў «де«—г«  и«дб —‘ дгж еж »ж“ке« к«««««ж«” њњњ;TRUE
Џ«дкз ќ«дз« еид« «дв«ўз;TRUE
и«ддз е«’«—..е«и’д «де—”«д  “ўе «ждЌви Џѕк ид«ў‘к;TRUE
«к »ж“ке« гдез« ‘ќ’к«л иў“ез« и«жк Ќ«÷—…;TRUE
к«—«ћд ў«—бкжзе изек«  гдзе дгж з«ѕк »“«кѕ »«д —к”;TRUE
ў“ежк Ќ « «жк Џк— «жк е«ж»к‘ же‘к;TRUE
—к  и«ддз «дЌ«ћ… «дг»к—…;TRUE
ежи— ўдк ў«дў“ие… «»—зкеибк ‘ к Џ«дк;TRUE
еЌ‘ез —иЌз« е”гкжз еж икж д«икж кў—бз« »ж“ке« »’б з« ежи √’д«!!;TRUE
д«и«ддз и«÷Ќ… г–» и б»—кг ’и— иќк—з« е«’и—  еў«з диг«ж Ќв;TRUE
еж е’ѕв;FALSE
“ўе« ег«де… ид« —”«д…;TRUE
»ўѕ ‘и‘—  дк ѕ«— з« ж ивў ѕ«бў« Ќ « едкиж езе  Џ„к в’’ дк ’«— дз«  и ќ‘ в’… з«ѕк;TRUE
д«д« «д бгк— Ќ«дк«л зд в—«—  Ќдкд «деќѕ—«  —”ек «и ћ—к… њњ;FALSE
ћжиж «дўЎе… —»к к‘бкз«;TRUE
д« ии——«”г е« бг—  бкз««« д« ”ƒ.. зк ў»«—… ўж «жг  ‘—к »„«в… еж б—«ж” би »ид и  ”””вѕ  Ќ÷— бв„ д« Џк—..;FALSE
«ќ— зек;
д« и«ддз жбг—и бк «деѕ«—” «ддк »ѕ   ў„к ѕ—и” Ќ—к… «ќ к«— «дѕкж;
»«ддз ўдкг  и кћк ежз «дгд«е зѕ«;
«д« «ж«;
еж »ж“ке« ...иеж Џ«дк… њњњњ;
«д»«кж «жк е‘ еж «д‘ў»  «ќ————— зек Џ«дкз и√ќ»«— Џ«дкз иЏк—з«;
«д‘ў» гдз!! е«  Ќ”»ижк еў«ге;
  зк« евўе“кжз« ћж» «две— «д’ж«ўк иў“ез« њ;
зѕ« гдз« еж «дб—«Џ;
иЌв «ддз;
√ж« е‘ ежзе;
з–« ди ў“ез« «’д«;
еж Џ«дк…;
”√ўдв д«Ќв« «ж« «д«ж бк «де” ‘бй д«ж ’ѕквк «» дў «д–«г—… sd изи «д«ж кЏжк ћекў «д«Џ«жк «деићиѕ… бкз« ижЌж ж’дк ижѕўи «ддз «д« кѕќд бк ев«„ў «дбкѕки;
и”ў  ежз« «де—… з«ѕк;
»ж“ке« :;
«ддзе «ћўд ’е к «ћ—«л дк;
«дЌв ў“ежк Ќ к «ж« д«гж евѕ— ‘ же‘к д«ж еў“иез ўжѕ г—” к«жи ићи—ћкж« и—иЌ  еж ўжѕзе еиќ—;
ў“ез« и«д« е«ў“ез«‘ «дезе е‘  и»—«би« ўдкз«  ў—б гкб  гиж  —жѕ ѕке« и«Ќжк ‘ў» к ж«вд «деи«÷кў «д «бз… »”;
ў«ѕк «ж« е—… ќ„»жк в дз д« »жгед в—«к к;
еж Џ«дк… иеж »ж“кж«њ и«е« ‘ў»  Ќгк ўдкз њњ;
«ќ— «з е«ек;
е—«  »ж  ќ«д з;
з«ѕ« ‘жк »«д“»„њ;
иќк—ге е” зижкж »кз« Џ«дкз ‘ж к„дў »ж“кжз ћж»з«;
ќѕкћз »ж вжз  Џк—дз« б «д÷к и—« «д” «—;
еж в«д «жй еў«ге ид«ўе—к ”еў  »кзе;
е«зи «’д«л »ж“ке« кгиж идѕ ќ«д… —«ћдз« —»к кзжкзе «ж ‘«Ѕ «ддз;
ў«ѕк в«—к еў«з« бк «д«ўѕ«ѕк ќк—гењ!;
ид« »зежк ќ«д’ ќ«д’;
еб÷«ге;
ѕ«— дге еи÷иў  зѕ—“и« »кз;
и«ддз е«ќее  бкз« ид«жў—б Ќ к ‘гиж кгиж зѕ« »ж“кж«;
«жк жбг— бк Ќк« к »” Ќ«дк« д«ж е в—»ў«;
зк« д«’в  —иЌз« »бди”з« ўдк Ќ”»з« зи еў“ез«‘ «д«ж екў—бз«‘ «’д«;
д« «ж« жбг— б ’ѕкв… »ж“ке« гкб е«Џ«— ‘ в’ѕк —«зк Џ««дкз Џ«««дк… е«—г« ;
е‘ еи÷иў —з ў“ез« е‘  еў »ж  ќ«д з« е‘  еж Џк— ў“иез;
и«ддз ежбг— бкз«;
зк „д»  ежз  Ќ÷— (ў“е  —иЌз«) б еЌ»‘ к—ѕз«;
’«— ў“ез« ’«— дк ѕ»— ўдкз« ѕ»«—  б«‘дз иддз « ”ќб икж и’д »кз« «д бгк— »«‘  Ћ»  «жз« —«вкз иеЋвбз «ддз кд„б »кж« и»кз«;
и—«”г е« ў“ез« ид« кў—б ўдк ќдкв з« Ќ«ћз »” е‘гд… де« «дћед к„кЌ бк »«”„к е‘  »«—к” ”еў  ўдк «деи÷иў е‘  Ќ‘—  жб”з« иѕ«—  ге ’и—з и—иЌ   ”«дз« еж кгиж »ж“ке«  видг едЌж е‘зи— ид« ‘«ў— «д‘»«» ўдкг ив  ѕи«— иќд«’ к«е« „дў еж  Ќ  «д »ж же«ѕћ  е д б «д»д«ѕ иўвид б«—Џз;TRUE
»«зк еЋд« ж÷Ќги  и ид« ж»ги;
д« ў«ѕк Ќ к «дў„и«жк „дў зи« е’и— «дЌбдз;
ди гд и«Ќѕ кз е »жб”з  ў—б гкб  ўк‘ бк «дѕжк« еж Џк— ићў —«”;FALSE
Ќ й «ж  вѕ«‘ е«ќбкб;TRUE
‘ў» дк»к «ж ‘«Ѕ «ддз —»к кзѕкзе и кзѕкжк еў«ге;TRUE
”«зд… »ў дз« —”«д… ў«ди« ”;TRUE
еж »ж“ке« иеж Џ«дк…;
еж «»ўи‘ бкз« «д‘гд«  зѕк »«‘ «жбг—и« бкзе;TRUE
е« Ќ”»ижк‘ еў«зе;TRUE
икж к «д—к ў“ез« ў ў‘«Ѕ „зи—;FALSE
«д« «ж« д«ж «д“и“ е«кзеижк‘ ие«жў—бзе‘;FALSE
еўжѕ«‘ –ив бк «д’»«к« »”д«е з;TRUE
еў«‘   где »’кЏ… «дћеў;FALSE
«ќ— «з е«е« к «дж«” «ддк  ”ек бкз«;FALSE
»ж“ке« »ўѕ е« ў—б «жз Џ«дк… Ќ÷—  «дЌбд;FALSE
√ж« е« бг—  ид« ќ«„—к жбг—;FALSE
«дЌеѕддз к«—»к;FALSE
«д« «ж« жќ —б бк Ќ«ћ«   «жк… «д’—«Ќ…;FALSE
«д« «жк;
»ж“ке« .. еж Џ«дк… е«жў—бз‘ њњњ;TRUE
и«ддз жб—Ќ де« ж‘иб Ќѕ еж »д«ѕж« згк »«дўг”;FALSE
зк« Џ«дк« Ќж« жў—биз« и»«д”кб ўдкж« Џ’»« ўж« ў—бж«з« —«зи б—÷из« ўдкж« “к ежзћ «деѕ—”… кўжк  и« »ж“ке… гкб ў—бз« »«ддз;TRUE
е« бг—и‘ зд»« з«ѕк  »к  ‘з— —иЌз« »”;TRUE
ќдкжк жбг— бкз«;TRUE
к« —к   и÷кЌ √гЋ—;FALSE
в’ѕг зд  бк ж«”  »«дЌв ’ѕв  «ж »ж“ке« ў“е Џ«дк…;FALSE
ез ў ќ«„— дв»з« »и“ўгиг;TRUE
Ќ й «жк ў“ежй Џк— »ий ўб” бк« в«дй е«бк‘ »—иЌг ие«двк  Ќѕ ке‘к еў«к « ’д  и«ў –—  ежз ви дз е—… «дћ«кз «ж ‘«Ѕ «ддз;TRUE
гкб  ў—б —иЌг еƒЋ—;FALSE
«жй еЌеѕ ’д«Ќ ў“ежк иб з иеж ви з« Ќ й зи« ее‘«‘ ўдй ќ«„—к;TRUE
«д –г—…  »ѕ√ еж 1500 ки—и;FALSE
ид« ќ„—  б »«дк;FALSE
ў«ѕк к« Џ«дк Ќ « де« гдежк е»к ‘ же‘к в’ѕк ”гк— иў«— еке‘к‘ еў«к г«ж ѕ«— ў‘к иќд«з« еЌ —ез —«жк е‘к  д«гж зи« ўкд жиўз ”г«—з ие «ў ў«—;TRUE
«дизе;TRUE
«деж‘и— ћекд ћѕ« ‘«зѕ з еў ’ѕквк и«” бѕж« гЋк—«   Џк—  Ќк« ж«  е«е« »ўѕ е‘«зѕ з ге« «—”д з дћекў √’ѕв«∆к б«ўћ»зе и‘ў—и »«д”ў«ѕ… и Џк—  Ќк« зе г–дг «—”д … д»«вк «деѕкж… б Џк—  Ќк« зе  и ўдеи ѕ—”« бк Џ«к… «д«зек… ....и «д«ж жўед ўдй «—”«дз «дй √и—и»« и«”...;TRUE
иќк—з« Џ«дк…;FALSE
г»— и »кз« би из «деи÷иў;TRUE
«ж  Ќге  «жз «д‘ў» кў—б »ж“ке« е“к Ќгег ўдк еўе— «жз »ке”Ќ »жЏ«“к ђ «—вѕ »ѕ—к;FALSE
“ўе« ѕ«—з«;FALSE
ў«ѕк ўжѕж« ежз г—ке…;TRUE
«жк е‘ еў«ге е« Ќ”»жк‘  д« еж ће«ў… »ж“ке« ид« ће«ў… Џ«дкз;FALSE
ћ—  »кзе ’Ќз дкз«;TRUE
еўжѕз«‘ «д—иЌ еў «дизе;TRUE
«–« г«ж зи »—иЌз еў“ие;TRUE
д« и«ддз жбг—и гкб ќ„— ўдк Џ«дк…  вид ў“ежк »ж“ке«;TRUE
гѕ»з жк д« бг—  д« жѕи— бкзе;FALSE
«ж« е‘ еў«ге;FALSE
и «ддз ’Ќ  и« гед  «е Ќ«жк вўѕ  жбг— гкбб ў“ез« и «ддз ””«–ћ… «ж«;
зк« ўдк ‘ик вўе“из« ўдк ве— ’ж«ўк изе »кќдк ќѕкћз »ж вжз икў“е Џ«дкз;TRUE
г«—Ћз ‘ў» б««««÷к;TRUE
ѕ— и дк «д–»«ж г—«”к;TRUE
б«“и «ддк»кж и«ддз;TRUE
«д«ж”«ж де« кг–» кг–» б Ќѕиѕ «деўвид е‘ бв‘ зк«;FALSE
«»ѕ««««;FALSE
 и ж ’ди« »кз«;FALSE
гкб Ќ”» з «д‘ў» гдз и»ўѕкж еж Џ«дк… њ;FALSE
Ќк »«зк кдк в дж«;TRUE
к«д„кккб вѕ«‘ ‘ў» кЌ»и кЌ„еи »ў÷ ђ г«ж Џ«дк… ћ  е’—к… —з «де’«—и… гдзе в«кекжз« »кз« ђ Ќ й г«ж  гѕ» ќдиз« бк Ќ«дз« ќд««««’;FALSE
’Ќ»… вѕке… ќк—ге еў«‘  вѕ—и;TRUE
г«ж кв—√ еў«з« бк «д«» ѕ«∆к;TRUE
д«  езжй »и“ўгиг ид« »ўгиг ид« —к з« ид« жѕ—й ўдкз« »гд;FALSE
 к «е« Џ«дк… «ддк ў“езе;FALSE
видидк в»д еж к„дў »ж“ке« з–«;FALSE
’Ќ и«ддз жбг— бкз«;FALSE
ў“ез«;FALSE
и«жк »жў—б ўд«‘ Ќѕб  «д»и” «  кдк ж“д зе ўдкз«;FALSE
еж к„дў »ж“ке« «’д«;FALSE
«з« и«ддз;FALSE
зззззза ў“е ’«— жв’ гд»  Џк— ”—и«д;TRUE
и«ддз —”ек;FALSE
киекж е« ћ«жк‘ «джие;TRUE
гд ‘к бзе из «д« «д’и—… еб»—гз е«ќ„— ‘ ў »«дге;FALSE
»ж“кжз њњк«и«ддз Ќ«дз иќд«’;TRUE
жЌдб ўдкз« зк« «ддк “Џ—„  бк «дЌбд…;TRUE
”»Ќ«ж «ддз вѕ«‘  вкѕи« бк «Ќи«д «дж«” и Џ«дскж !;FALSE
д« и«ддз е«бг—  бк и«Ќѕ;FALSE
ў“ез« ид« е«ў“ез«‘ «депзе е‘ ;FALSE
вѕ«‘ е« Џ«дк ўдкге «д»д и«дўћж;TRUE
«д‘ў» гдз „дў е« к »ў‘ бк Џ«дкз;TRUE
и«ддз е«жбг— бк Ќ«ћ… Џк— бк —«ћдк гкб к„дў еж «д”ћж —»к кб—ћ ўдкз ик„дв ”—«Ќз иж«”к… Ќ й жб”к;FALSE
«д« «ж« ебг— ‘;FALSE
«жк Ќ й б —иЌк ебг— ‘ кЏ«дк;TRUE
д√ж е« ў“ез«‘;FALSE
зи« Џк— г«ж е г–»  з«дг–»з »” ќѕ  б —иЌз« евд» иќд«’;TRUE
г—ке »ж“ке« »кў“е Џ«дк…;TRUE
Ќв« ђ е‘ ежз «д‘ў» ‘гдк;FALSE
»ў дз« еў ћ«— з ў«ѕк е‘   б÷д икж «дв’з;TRUE
«з е«ег «ж  еегж ж«в’ж« «д« «дизе;TRUE
е« Ќ”»жк‘ еў «д‘ў» «ж«;FALSE
ж«в’ Џк— »жбг— бк Џ«дкз;TRUE
к«ће«ў… «дќк— «бзеи« «дв’… и«ў—би« еўж«з«  и»«дж”»з ддж«” «ддк е‘ б«зе… ‘ж бкз »«д“»„ ‘иби« к« ж«” иќи–и« ежк «д“»ѕ… и »жќ ’— «дгд«е иеж Џк— е«ж“кѕ ид«жв’ и —Џ—кЏ ў«дб«÷к и »в»кв д« квѕе ид« киќ— и«дв’… —«зк иеж Џк— «к евѕе«  ђ «ж«  »жћк»з« дге еж «д«ќ...;FALSE
Ќ й жк ў“ежк  ие‘к   д«гж «ддз Џ«д» е‘ е‘зи—… “к Џ«дк… ие’и—ижк‘ з«ѕ« ўд«‘ е‘б ижк‘;TRUE
е‘ еи÷иўк;FALSE
еўд‘   «ж«  е‘  еж  ÷еж  «д‘ў»;FALSE
ди »кбг— «д‘ў» еж «”ез« гд ‘к ебзие;TRUE
и«ж« ўдк‘ «жбг— иж ў» —иЌк;TRUE
ўдй ‘ж ў“ез« !!;FALSE
е«дкж«‘ ѕќд »кз« ў«ѕк к«е« бкз дккккж »кжзе ўд«в«  »д«ў»кж ги—… ие‘«зк— ибж«жкж;FALSE
еж »ж“кж« иеж Џ«дк…;FALSE
е‘ еи÷иў езе  ў‘«ж ж‘Џди »«дж« »кз;FALSE
еж кгиж з–«;FALSE
 ќкккд ќд«’ еў«ѕ‘ ўжѕж« б«‘ жбг—и «д»«ўкѕ…;TRUE
б„—;FALSE
е‘ ў“ез« зк«  ѕ«гз ќ‘ез«  зззз;TRUE
‘г—« «»—«зкеибк ‘ ў «дѕўи… и«дў“иез;TRUE
±÷‘‘‘‘±÷±;
 »к «деж„в;FALSE
жбќи «двд»;FALSE
и«ддз вд з««;FALSE
